Name,Lat,Lng,Distance
"Milwaukee, WI, United States",43.0388982,-87.9065461,0.0
,43.036379758630204,-87.90383894401688,356.13120300451396
,43.03582037021145,-87.90991037250379,497.3603436343182
,43.0358821415054,-87.91602908021584,497.3475661188146
,43.03573218753188,-87.92216243441227,498.7696802400333
,43.03153995559547,-87.92324048815141,474.3185535023069
,43.027103978877115,-87.92247002537124,497.2178718118511
,43.02276686574562,-87.92089105787078,499.05335244954904
,43.01912228768223,-87.91735003247118,497.0940622248241
,43.01472295493114,-87.91622108720959,497.71953090074925
,43.010232032706085,-87.91619813015588,499.37125580077986
,43.006124299999996,-87.9162759,456.80280866262575
,43.00163792710307,-87.91639379182732,498.9540109729075
,42.99720171060049,-87.91547167944356,498.9521883985359
,42.992730689151756,-87.91489715347845,499.3458784504712
,42.98825304015467,-87.9143851650721,499.63028084469204
,42.98393230118643,-87.91595304124425,497.08282844413276
,42.979474820012605,-87.91641430562437,497.0675587705136
,42.97501712870384,-87.91567783512588,499.28055781656917
,42.97052912198285,-87.91562705630086,499.0606782335426
,42.966951255780316,-87.91915066026515,490.37866341303214
,42.96636653901762,-87.92521936782491,498.05417451051795
,42.96568803099202,-87.93126643418118,497.78703674729843
,42.962050000000005,-87.9345113,483.0739188875223
,42.95757402449136,-87.93457506714132,497.7328186429238
,42.95309086224414,-87.93492856091697,499.3342872594012
,42.9486054903347,-87.9350838000194,498.9106071844565
,42.944120218228534,-87.9353824782735,499.33164789623714
,42.939634126166844,-87.93551493717928,498.94719066025687
,42.93514407117304,-87.93541010916721,499.34425880743873
,42.93065187589088,-87.93549049902597,499.55219775286906
,42.9261668980322,-87.93553099758243,498.7176842050569
,42.921675083456904,-87.93565714560414,499.57259541529356
,42.91718924989731,-87.93579374064562,498.9259331163825
,42.91269702700835,-87.93595771308992,499.690843320184
,42.908206880603586,-87.93611493150644,499.4456530847141
,42.903716732776815,-87.93627262103152,499.4468202966888
,42.899226631132954,-87.9364311152196,499.44340061606226
,42.895458700000006,-87.9365641,419.1148449054969
,42.890246395863954,-87.9367462584648,579.7717174357466
,42.8857562646819,-87.93690315389625,499.443406363682
,42.88126613328564,-87.93706002648935,499.44340636436834
,42.87677666535143,-87.93722881104053,499.39546838129684
,42.87228483095229,-87.93737423570455,499.60975951581867
,42.867795734789816,-87.9375403335678,499.3482168924945
,42.86330445232926,-87.93768048450087,499.53843209276283
,42.85881508336417,-87.93787471995687,499.4460285551018
,42.85448788374039,-87.93942038880726,497.3843862364523
,42.85111941879175,-87.94345585249984,498.50507572695096
,42.84785633140608,-87.9476674104518,499.52969868145743
,42.84406534388084,-87.95089935715666,497.11289503856
,42.83973401812619,-87.95244962470727,497.9309018539352
,42.83524792016587,-87.95266496057053,499.14024239618817
,42.83076484370063,-87.95279801076761,498.61340903186493
,42.826272375738995,-87.95290745487121,499.6193699674207
,42.821783278546896,-87.95287177876867,499.1733127059252
,42.8172980473378,-87.95297063018268,498.80011894795695
,42.81281593602503,-87.95320039947529,498.7402990375331
,42.808329066343276,-87.95340338790992,499.19184503427107
,42.803843257844406,-87.95340891064674,498.79935044784014
,42.79935338454637,-87.95340873620312,499.2511322211394
,42.79486263211697,-87.95352736790969,499.4426884308929
,42.790959699999995,-87.9536217,434.05450327160446
,42.786471774707216,-87.95373754762353,499.12405512791946
,42.78198066736875,-87.95382885382597,499.4439378566007
,42.77724550000001,-87.95428570000001,527.8450716828648
,42.772763609838236,-87.95396790740399,499.0379923047964
,42.76827262267582,-87.95406953956801,499.4438900493077
,42.76378374899949,-87.95419525958073,499.2454735895192
,42.759298802581334,-87.95425246448306,498.72515383354107
,42.7548072691519,-87.95422012983758,499.44270720180367
,42.750315686695224,-87.9541912644686,499.44674268911257
,42.74582411645152,-87.95417446308988,499.44170805195523
,42.741329148202574,-87.95414064803933,499.82529267841704
,42.736837733978966,-87.95408472968131,499.4433535738223
,42.73234256864148,-87.95404963647083,499.84779749112505
,42.727850989101405,-87.95407539642049,499.4452894431215
,42.723362996094906,-87.95405846100662,499.0439705224087
,42.718873083979155,-87.95402640827184,499.26231464785144
,42.714380495713094,-87.9539819621453,499.5662192733265
,42.70988893306019,-87.95395675509324,499.4432259410758
,42.70539737040174,-87.95393155168908,499.4432259436255
,42.70090578040579,-87.95391384026533,499.4441170791603
,42.69641811641084,-87.95387267146732,499.01680991185657
,42.69192738984917,-87.9537518057804,499.4437021976915
,42.68745094270044,-87.95332198687949,498.99635498714673
,42.68296138123047,-87.95315532006656,499.40230256872445
,42.67846994200134,-87.95310328459037,499.4433691816565
,42.6741226,-87.95305499999999,483.41849052923607
,42.66963129631588,-87.95300289416372,499.42835199695884
,42.66514039081984,-87.95295524101819,499.38110662985486
,42.660648917166945,-87.95290595199839,499.44534453359887
,42.656157527775484,-87.95284679020747,499.443145514461
,42.65166996960474,-87.95280504421926,499.005380113301
,42.647177115796666,-87.9527686578625,499.59141273323314
,42.642689647679205,-87.95273285124078,498.99228262637143
,42.63820168985882,-87.95269963257356,499.04553792441243
,42.6338444,-87.9526897,484.50920750628126
,42.62921851195653,-87.95266741813691,514.3785115806687
,42.624726938682535,-87.9526457864067,499.4432963999895
,42.62023421039969,-87.95255189252848,499.6276595910716
,42.615743856812884,-87.95241025059727,499.4390366680533
,42.611251332928305,-87.95233867467579,499.58020104765217
,42.60675975334589,-87.95231900728074,499.44345572543745
,42.60227048824739,-87.95236498500948,499.1976865680727
,42.59778655545184,-87.9525951761816,498.9464455534455
,42.5932997457798,-87.95288512872865,499.4747047211874
