,Id,Name,Lat,Lng,Distance
0,0.0,SH 20,15.8664688,74.5178775,0.0
1,1.0,,15.866776862639444,74.51700081782681,99.82962748563624
2,2.0,,15.866554890909368,74.5178864355376,97.88718849603576
3,3.0,,15.8664348,74.5182355,39.65161029732686
4,4.0,,15.866188323585035,74.5191148841906,97.96937656329999
5,5.0,,15.865937315128606,74.5200117675079,99.90742737598421
6,6.0,,15.865487283451914,74.52080269334917,98.28892091524745
7,7.0,,15.864928213562969,74.52153409733614,99.92284822571749
8,8.0,,15.864336773678689,74.52223280879143,99.54998394212372
9,9.0,,15.863744969883832,74.52292578365261,99.11720903025862
10,10.0,,15.863121457004754,74.52359353624547,99.53937932568894
11,11.0,,15.862881784090993,74.52447352991216,97.8246478224537
12,12.0,,15.86268927111834,74.52536469535275,97.69363906834649
13,13.0,,15.862316115893348,74.52619109675835,97.64676620490437
14,14.0,,15.862261696159159,74.52712307179128,99.86827278413013
15,15.0,,15.862217591997299,74.52805341995293,99.63156237636662
16,16.0,,15.862159262803925,74.52897775589283,99.08025919240487
17,17.0,,15.86201553212639,74.52989676524412,99.58883542364734
18,18.0,,15.861812602882283,74.53080358185794,99.58413848502309
19,19.0,,15.86099941803497,74.53113516113808,97.12872943483303
20,20.0,,15.860129935414447,74.53136713699581,99.81523778830034
21,21.0,,15.859267505534183,74.53161298988806,99.43803663124724
22,22.0,,15.858411860368799,74.53187339725626,99.13679387216885
23,23.0,,15.85756171315426,74.53215328502311,99.15933082419748
24,24.0,,15.856707950082686,74.53242644834252,99.32879138064938
25,25.0,,15.855882661478962,74.53277805141828,99.17547417183063
26,26.0,,15.855197155340182,74.53327284918257,92.79737815709557
27,27.0,,15.855969704340708,74.53367392810404,96.02043678730386
28,28.0,,15.856836919883506,74.53386630029001,98.60094745616541
29,29.0,,15.857635159920225,74.53426908903128,98.66399505243321
30,30.0,,15.857919026947885,74.53513413760726,97.76408486207715
31,31.0,,15.85804951146139,74.5360512798482,99.16750959004521
32,32.0,,15.858141037675326,74.53697216181432,99.02467417205453
33,33.0,,15.858186185718766,74.53789965643715,99.33451792692505
34,34.0,,15.85824847021966,74.5388282491371,99.56617109337142
35,35.0,,15.858309347611137,74.53975995987452,99.8881248258903
36,36.0,,15.85837014524636,74.54069045523006,99.75779195256496
37,37.0,,15.858431019955036,74.54162217062716,99.8885418958877
38,38.0,,15.858501100436259,74.5425474679473,99.27870150440509
39,39.0,,15.858569707757145,74.54347714659205,99.73320340775115
40,40.0,,15.858628132428896,74.54440471870909,99.4281188400482
41,41.0,,15.858612911425364,74.54533117801675,99.11106628186818
42,42.0,,15.858543654627189,74.5462604118721,99.69129865955877
43,43.0,,15.858440651792078,74.54718204226675,99.24328063618897
44,44.0,,15.858332913712093,74.54810345383989,99.28224024985602
45,45.0,,15.858284637976352,74.54903538351144,99.82632629869458
46,46.0,,15.858262766433882,74.54996440307642,99.40039306603306
47,47.0,,15.85822174006869,74.55088981928824,99.09029401165124
48,48.0,,15.858151176905388,74.55182168746299,99.98372070797298
49,49.0,,15.85807879868852,74.55275251256319,99.88858855486212
50,50.0,,15.858005326913716,74.55367994433756,99.53675496514079
51,51.0,,15.857930147425346,74.55460873413422,99.69730277156944
52,52.0,,15.857863792391912,74.5555331887005,99.15742986941483
53,53.0,,15.857797049221457,74.5564559550652,98.98061524073827
54,54.0,,15.857738491822674,74.5573818597752,99.25152457757972
55,55.0,,15.85774780546595,74.55830769422876,99.03562370336414
56,56.0,,15.857861965744071,74.55923320827269,99.80645380576635
57,57.0,,15.857995701277865,74.56015559156766,99.7753741411134
58,58.0,,15.858135709893137,74.5610786518807,99.95318298783512
59,59.0,,15.858269621388494,74.5619991361883,99.5773176215423
60,60.0,,15.858407490753269,74.56291472870508,99.12703413414697
61,61.0,,15.85848150158108,74.5638367540769,98.96520255639665
62,62.0,,15.858457651081956,74.5647669790939,99.53481661129497
63,63.0,,15.8584012601001,74.56569789785672,99.77093914474351
64,64.0,,15.858337275919558,74.56662133985937,99.02990379502923
65,65.0,,15.85827245494601,74.56755178624168,99.78390042725881
66,66.0,,15.858210801116499,74.56848040425848,99.56400727673433
67,67.0,,15.858208596022303,74.56940544884273,98.94579668375674
68,68.0,,15.858333315309753,74.57032246164204,99.06189783632979
69,69.0,,15.858513130057824,74.57123663225528,99.80557756183843
70,70.0,,15.858703098787212,74.57214975968363,99.92873455406333
71,71.0,,15.858909284911062,74.57305786709577,99.80264603718327
72,72.0,,15.859174578692423,74.57394177236147,99.03996228424616
73,73.0,,15.85944552928847,74.5748283282906,99.4991853294898
74,74.0,,15.859748153263203,74.57569853324664,98.9749862823431
75,75.0,,15.860102150258902,74.57655718491982,99.92287220560826
