Name,Lat,Lng,Distance,Duration
SH 20,15.8664688,74.5178775,0.0,0.0
,15.866776862639446,74.51700081782681,100.0,13.0
,15.866554890909367,74.51788643553759,166.0,93.0
,15.8664348,74.5182355,40.0,5.0
,15.866188323585035,74.5191148841906,122.0,24.0
,15.865937315128605,74.52001176750791,100.0,20.0
,15.865487283451914,74.52080269334917,99.0,15.0
,15.864928213562967,74.52153409733614,100.0,13.0
,15.864336773678687,74.52223280879144,100.0,11.0
,15.863744969883832,74.52292578365261,99.0,12.0
,15.863121457004757,74.52359353624547,100.0,14.0
,15.862881784090991,74.52447352991216,118.0,23.0
,15.86268927111834,74.52536469535275,109.0,24.0
,15.862316115893348,74.52619109675835,102.0,16.0
,15.86226169615916,74.52712307179128,100.0,13.0
,15.862217591997302,74.52805341995294,100.0,13.0
,15.862159262803926,74.52897775589283,99.0,11.0
,15.86201553212639,74.52989676524412,100.0,13.0
,15.861812602882285,74.53080358185794,100.0,19.0
,15.860999418034972,74.53113516113808,107.0,23.0
,15.860129935414447,74.53136713699581,100.0,14.0
,15.859267505534186,74.53161298988806,99.0,12.0
,15.8584118603688,74.53187339725626,99.0,12.0
,15.857561713154258,74.53215328502311,99.0,12.0
,15.856707950082686,74.53242644834252,99.0,11.0
,15.855882661478963,74.53277805141829,99.0,10.0
,15.855197155340182,74.53327284918255,102.0,16.0
,15.855969704340707,74.53367392810405,117.0,19.0
,15.856836919883506,74.53386630029001,99.0,14.0
,15.857635159920225,74.53426908903128,99.0,13.0
,15.857919026947885,74.53513413760727,100.0,12.0
,15.858049511461392,74.53605127984821,99.0,10.0
,15.858141037675324,74.5369721618143,99.0,10.0
,15.858186185718765,74.53789965643716,99.0,8.0
,15.85824847021966,74.5388282491371,100.0,8.0
,15.858309347611135,74.53975995987452,100.0,7.0
,15.85837014524636,74.54069045523006,100.0,8.0
,15.858431019955034,74.54162217062715,100.0,8.0
,15.85850110043626,74.54254746794729,99.0,13.0
